target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
D07AB08,239,5855,100,52.63,45.37,60.51,58.59,56.69,60.44,5.96,-1.89,13.78,0.140,0.9,0.77,1.03
D07AC01,578,5558,100,56.85,50.9,61.73,57.76,56.02,59.73,0.92,-4.25,6.67,0.784,0.98,0.89,1.07
D07AC03,105,5954,100,62.08,46.67,77.69,58.15,56.3,60,-3.92,-19.97,11.63,0.602,1.07,0.8,1.35
D07AC13,829,5403,100,57.09,52.64,60.99,57.83,55.83,59.67,0.74,-3.44,5.34,0.714,0.99,0.91,1.06
D07AD01,499,5598,100,57.86,51.74,63.9,58.17,56.19,60.06,0.32,-5.7,6.53,0.964,0.99,0.89,1.1
D07BB02,117,7986,89.66,62.96,46.29,78.02,58.4,56.83,59.93,-4.56,-20.47,11.99,0.586,1.08,0.79,1.35
D07BC01,320,8604,100,52.42,44.89,61.15,58.39,56.67,59.82,5.97,-2.66,13.61,0.202,0.9,0.77,1.05
D07CA01,343,8820,100,64.13,56.98,70.3,57.4,55.86,58.85,-6.73,-13.41,0.13,0.066,1.12,1,1.24
D07XC01,293,8800,100,58.85,50.7,67.49,57.92,56.31,59.38,-0.93,-9.53,7.85,0.814,1.02,0.87,1.17
D08AC01,101,8991,100,48.89,34.85,65.02,57.75,56.35,59.34,8.87,-7.34,22.44,0.302,0.85,0.61,1.13
G03CA03,490,5167,41.38,12.19,8.13,47.07,52.1,50,53.99,39.92,4.46,44.57,<0.001,0.23,0.15,0.91
G03CA04,191,5380,51.72,91.44,52.53,96.61,51.09,49.09,53.18,-40.35,-45.94,-0.2,0.042,1.79,1,1.9
G04BD07,291,2329,100,58.44,51.2,64.91,52.9,50.16,56.02,-5.54,-12.26,1.83,0.164,1.1,0.97,1.23
G04BD08,541,2275,100,58.33,53,63.79,53.46,50.46,56.47,-4.86,-10.58,1.22,0.110,1.09,0.98,1.2
G04BD11,443,2236,96.55,59.41,53.47,65.87,52.39,49.3,55.83,-7.02,-14.07,-0.21,0.042,1.13,1,1.28
G04BD12,877,1399,100,62.78,48.31,78.21,52.38,42.86,61.95,-10.4,-28.63,6.99,0.216,1.2,0.87,1.63
G04BE03,625,2229,41.38,89.58,46.34,98.66,50.32,47.07,53.29,-39.26,-49.26,2.65,0.068,1.78,0.95,2
G04BE08,545,2288,96.55,39.68,31.48,47.28,49.09,45.5,52.61,9.41,1.48,17.51,0.032,0.81,0.65,0.97
G04BE09,152,2411,65.52,38.03,24.16,53.86,52.96,50.06,55.71,14.93,-0.88,28.68,0.068,0.72,0.46,1.02
